contract_row,player,player_key,pos,signed_team_raw,signed_team,age_at_signing,start_year,end_year_raw,yrs,value,average_salary,average_of_cap_at_sign,expected_end_year,end_year,end_year_was_fixed,stat_season,stat_player,stat_team,stat_pos,reg_games,reg_targets,reg_receptions,reg_receiving_yards,reg_receiving_tds,reg_receiving_fumbles,reg_receiving_first_downs,reg_receiving_air_yards,reg_receiving_yards_after_catch,reg_receiving_epa,reg_catch_rate,reg_yards_per_target,reg_yards_per_reception,reg_td_per_target,reg_air_yards_per_target,reg_yac_per_reception,adv_targets,adv_receptions,adv_yards,adv_rec_touchdowns,adv_catch_percentage,adv_avg_cushion,adv_avg_separation,adv_avg_intended_air_yards,adv_avg_yac,adv_avg_expected_yac,adv_avg_yac_above_expectation,adv_percent_share_of_intended_air_yards,adv_yards_per_target,adv_yards_per_reception,adv_td_per_target,team_passing_yards,team_passing_tds,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_epa,league_avg_team_passing_yards,league_avg_team_passing_tds,league_avg_team_passing_epa,league_avg_team_rushing_yards,league_avg_team_rushing_tds,league_avg_team_rushing_epa
9680,Montrell Washington,montrell washington,WR,NYG NYG,NYG,25,2025,2025,1,1030000,1030000,0.0037,2025,2025,FALSE,2024,Montrell Washington,KC,WR,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3521,15,-96.14862862966382,1783,13,-28.960763415283843,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9683,Maurice Alexander,maurice alexander,WR,CHI CHI,CHI,28,2025,2025,1,1030000,1030000,0.0037,2025,2025,FALSE,2024,Maurice Alexander,DET,WR,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3552,20,-53.314411206948215,1734,13,-27.373577696403313,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9687,Alex Bachman,alex bachman,WR,LV LV,LV,28,2025,2025,1,1030000,1030000,0.0037,2025,2025,FALSE,2024,Alex Bachman,LV,WR,5,3,3,31,0,0,2,21,10,0.07557450111210351,1,10.333333333333334,10.333333333333334,0,7,3.3333333333333335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4117,19,-62.91733084732314,1357,10,-91.87499130037199,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9705,Dez Fitzpatrick,dez fitzpatrick,WR,LAC LAC,LAC,27,2025,2025,1,1030000,1030000,0.0037,2025,2025,FALSE,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3901,23,63.45863291616553,1882,17,-24.880648388694603,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9706,A.T. Perry,a t perry,WR,DEN DEN,DEN,25,2025,2025,1,1030000,1030000,0.0037,2025,2025,FALSE,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3808,30,40.03305993288628,1908,12,-14.35800787032888,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9709,Demetric Felton,demetric felton,WR,WAS WAS,WAS,26,2025,2025,1,1030000,1030000,0.0037,2025,2025,FALSE,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3932,29,79.29114238935429,2619,25,67.61982720882696,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9713,Kendric Pryor,kendric pryor,WR,CIN CIN,CIN,27,2025,2025,1,1030000,1030000,0.0037,2025,2025,FALSE,2024,Kendric Pryor,CIN,WR,1,1,1,9,0,0,0,9,0,0.6801677733892575,1,9,9,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4918,43,115.12695542445556,1574,11,-9.513695408275204,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9722,Austin Trammell,austin trammell,WR,JAX JAX,JAX,26,2025,2025,1,1030000,1030000,0.0037,2025,2025,FALSE,2024,Austin Trammell,JAX,WR,1,3,2,40,0,0,2,44,9,2.7444012030318845,0.6666666666666666,13.333333333333334,20,0,14.666666666666666,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3717,19,2.815102956176922,1729,13,-13.594123616501726,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9727,DJ Montgomery,dj montgomery,WR,IND IND,IND,28,2025,2025,1,1030000,1030000,0.0037,2025,2025,FALSE,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3599,20,-34.6671714876517,2331,20,-21.2905996811771,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9733,Dax Milne,dax milne,WR,CAR CAR,CAR,25,2025,2025,1,1030000,1030000,0.0037,2025,2025,FALSE,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3411,22,-49.31081541928745,1878,18,3.743683073065567,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
