season,team,team_passing_yards,team_passing_tds,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_epa
2016,MIN,4119,20,40.90495952666238,1205,9,-98.56056271510774
2016,NE,4456,32,165.0699989133868,1872,19,-28.11824019290482
2016,NO,5258,38,116.2698458774526,1742,17,-9.462310887486606
2016,NYG,4027,26,-6.88312267542824,1412,6,-60.94104929627
2016,NYJ,3645,16,-56.279538880691106,1802,10,-15.686167575648856
2016,PHI,3798,16,10.065907391698717,1813,16,-29.21153259353885
2016,PIT,4377,33,88.75205351658737,1760,13,-13.760987789364652
2016,SEA,4422,23,59.83468625401213,1591,13,-40.10723934338586
2016,SF,3166,21,-42.01739106312349,2019,15,-19.679199308580806
2016,TB,4165,29,60.38354820125659,1616,8,-66.77562400135062
2016,TEN,3720,29,47.21608872564258,2187,16,-19.810561351048396
2016,WAS,4948,25,118.41090735966982,1696,17,-8.721707926293178
2017,ARI,3979,21,-79.08164990382774,1386,6,-81.77302357564936
2017,ATL,4146,21,74.83733650024547,1847,12,-39.86476548711535
2017,BAL,3235,20,-43.72544367783466,1856,14,-32.3140091821622
2017,BUF,3065,16,-28.273161287475034,2017,12,-34.946843299156605
2017,CAR,3319,22,-11.221023452867351,2102,15,-37.86538671834022
2017,CHI,3085,13,-61.606994263867605,1788,13,-35.60370339434523
2017,CIN,3386,25,-33.58777376191098,1366,6,-56.391704858696585
2017,CLE,3537,15,-142.87584097321448,1714,11,-3.6419224704742623
2017,DAL,3326,22,-36.44807288926489,2170,18,33.23809281150032
2017,DEN,3668,19,-89.90077867784463,1852,8,-36.82411515554115
2017,DET,4470,29,31.854686690630995,1221,10,-82.67939167219505
2017,GB,3532,25,-56.56744630724858,1724,13,15.03453342080493
2017,HOU,3644,28,-53.620021544521464,1842,8,-29.540478779700454
2017,IND,3226,13,-67.58780547800151,1661,11,-38.58222641767689
2017,JAX,3716,21,32.89932981722704,2262,18,-23.652424499541354
2017,KC,4326,26,89.69097477624452,1903,12,-9.26497681176864
2017,LA,4023,28,78.0496058078974,1953,17,-21.783393662616298
2017,LAC,4551,28,106.86068713808348,1595,10,-38.385623325688094
2017,LV,3761,23,23.031395273870984,1554,13,-39.24673329683711
2017,MIA,3792,24,-49.87475531249791,1388,4,-56.147986665829734
2017,MIN,3929,25,61.28468065940656,1957,15,-65.53568758613842
2017,NE,4619,32,138.86886062336072,1889,16,-19.637341032602208
2017,NO,4334,23,106.64644942046742,2070,23,6.532268419810826
2017,NYG,3680,20,-76.50182943699616,1549,6,-52.61681331238121
2017,NYJ,3501,19,-19.979123093451282,1702,13,-45.60597090780287
2017,PHI,3967,38,70.00297010368291,2115,9,-27.527563930794894
2017,PIT,4542,29,87.84268722955309,1667,12,-37.26498764860335
2017,SEA,3979,34,22.670681133746026,1629,4,-43.77171740827262
2017,SF,4235,15,-12.627246264545764,1662,15,-21.79132004074186
2017,TB,4607,26,56.83589549660923,1450,8,-43.48630437061547
2017,TEN,3394,14,-46.66783523711527,1833,18,-36.05477139186969
2017,WAS,4093,27,16.449299637370885,1448,10,-60.479297533698414
2018,ARI,2884,15,-170.82654263643533,1342,9,-55.615197797077506
2018,ATL,4949,36,119.27982811379003,1573,11,-32.98608856333905
2018,BAL,3708,18,14.682983977572892,2441,19,-3.54207284750021
2018,BUF,3052,13,-111.36849755744882,1984,15,-28.235495994855675
2018,CAR,4071,28,34.44048032713061,2136,17,25.750446350916246
2018,CHI,3747,28,53.01479617550879,1938,16,-16.96425167275998
2018,CIN,3569,27,10.816216381055304,1682,13,-19.322158674434824
2018,CLE,4261,29,3.186693595995129,1893,15,-14.529500230821817
2018,DAL,3885,22,23.9504307860604,1963,13,-4.0814251065457885
2018,DEN,3930,19,-14.689544926827798,1907,18,-1.2498540523445516
2018,DET,3844,22,-5.867742415598544,1660,11,-39.868522842346216
2018,GB,4629,25,26.41134974641368,1667,14,23.43171073436593
2018,HOU,4165,26,59.71004938794001,2021,12,-42.87253363641178
2018,IND,4595,39,110.03658297508377,1718,13,-24.326607286963156
2018,JAX,3431,15,-61.837913941161915,1723,7,-38.315365611641774
2018,KC,5126,50,222.13835989727238,1855,16,20.860583233025896
2018,LA,4730,32,120.21878125555756,2231,23,28.826341661981402
2018,LAC,4316,32,132.64702099537834,1873,16,-4.120666578032991
2018,LV,4057,19,-2.7580776160712626,1628,9,-50.96284026600704
2018,MIA,3309,26,-54.16800594109631,1738,7,-39.23008330604103
2018,MIN,4298,30,-10.79667924128233,1493,9,-69.90428128130719
2018,NE,4405,29,91.77821134164351,2037,18,-1.7368643778466653
2018,NO,4174,33,148.58588517387244,2025,26,-6.428648326467804
2018,NYG,4405,23,31.874429217604263,1650,13,-8.800853887141743
2018,NYJ,3404,18,-46.504492992802724,1619,11,-65.96545635908032
2018,PHI,4524,29,58.18140184706632,1570,12,-24.695163988040257
2018,PIT,5174,35,138.9913588941487,1445,16,-13.144225551808944
2018,SEA,3448,35,64.52902963982203,2560,15,18.738646298872215
2018,SF,4247,26,5.510840607999224,1902,7,-50.33778758701906
2018,TB,5358,36,101.41316847423236,1523,11,-40.08022914140107
2018,TEN,3255,16,-5.68082381908558,2023,15,-18.456376603374345
2018,WAS,3287,16,-52.60712924606384,1774,12,-11.484952010057984
2019,ARI,3797,20,5.87107285791338,1990,18,3.9212366948557977
2019,ATL,5049,29,42.523433804198184,1361,10,-39.79014250428645
2019,BAL,3350,37,141.06922211749537,3296,21,65.48963515000987
2019,BUF,3476,21,-19.234438567474022,2054,13,-18.05014529993045
2019,CAR,4134,17,-63.03101867745218,1819,20,-31.600989977620028
2019,CHI,3573,20,-30.309324108016558,1458,8,-62.15958244832187
2019,CIN,3994,18,-66.80053814226018,1517,9,-32.47349700284512
2019,CLE,3847,22,-13.097062754239632,1901,15,-23.539073847902323
2019,DAL,4902,30,124.23810016545302,2153,18,13.132384559621059
2019,DEN,3401,16,-28.33134134045632,1662,11,-32.3444643914891
2019,DET,4187,28,17.44645493569518,1649,7,-54.55554982394039
2019,GB,4017,26,59.359029773391626,1795,18,-9.007167290511566
2019,HOU,4083,27,62.30814441965606,2009,17,3.7171189098861
2019,IND,3314,22,-15.747664998399795,2130,17,19.89211406312281
2019,JAX,4023,24,-26.555724459564747,1708,3,-28.958378116558887
2019,KC,4690,30,142.49376783847617,1569,16,-19.891577143101546
2019,LA,4669,22,61.39906289311517,1499,20,-61.23563682937594
2019,LAC,4648,24,72.38647213305572,1453,12,-42.00675381245016
2019,LV,4110,22,99.2223350693191,1893,13,-36.45828672327055
2019,MIA,4117,22,-28.266259532199577,1156,10,-57.85464825889382
2019,MIN,3729,26,80.31765169133094,2133,19,-23.776900494018435
2019,NE,4153,25,28.987931422669256,1703,17,-29.88892726752682
2019,NO,4431,36,114.16628752490514,1738,12,-31.929196431186252
2019,NYG,4070,30,-48.17641067218009,1685,11,-21.407020106697466
2019,NYJ,3443,19,-77.13706665936023,1257,6,-68.93840204379056
2019,PHI,4063,27,41.254550799597034,1939,16,-35.66619512540307
2019,PIT,3214,18,-56.922422038670234,1447,7,-99.56568954788378
2019,SEA,4110,31,85.02494519224528,2200,15,-42.5521277471631
2019,SF,4029,28,86.04855879613197,2305,23,-30.169022344335676
2019,TB,5127,33,43.422229409563876,1521,15,-50.77332750062795
2019,TEN,3956,29,57.210243949271046,2223,21,4.097107285115445
2019,WAS,3205,18,-78.80948365329758,1583,9,-39.64465811051259
2020,ARI,4102,27,22.505699589272055,2237,22,28.93374210420849
2020,ATL,4620,27,69.70619305056903,1532,13,-42.03289555989449
2020,BAL,2919,27,39.063544435997514,3071,24,68.92409544312156
2020,BUF,4786,40,177.37424598023438,1723,16,-21.14797624891452
2020,CAR,4129,16,12.220879834529828,1704,19,-8.140107134597995
2020,CHI,3925,26,-7.06199656879296,1647,12,-13.008739648972277
2020,CIN,3793,19,15.570270283083772,1668,13,-46.78306225516812
2020,CLE,3701,27,92.39421495801105,2374,21,-6.814778386914023
2020,DAL,4511,25,-13.550194747103792,1788,14,-18.98596349659146
2020,DEN,3673,21,-62.66279231749522,1918,13,-37.61954037784606
2020,DET,4397,27,30.90635593178435,1499,17,-38.87968652914037
2020,GB,4299,48,184.19043211778282,2118,16,23.13913004385495
2020,HOU,4843,33,129.8895435921528,1466,10,-24.381641917861998
2020,IND,4186,24,95.44928304095703,1996,20,-18.38779508490689
2020,JAX,3955,25,-42.39578962955759,1519,9,-12.23415569850166
2020,KC,5005,40,201.9331460420896,1799,13,-0.9443257370229565
2020,LA,4183,20,22.541855432289506,2018,19,-37.192486342650945
2020,LAC,4548,31,89.72661071633948,1784,12,-58.93092457289428
2020,LV,4383,28,68.3464581011265,1916,20,-7.604624947761251
2020,MIA,3937,24,36.19270213042737,1688,15,-33.93915665996371
2020,MIN,4265,35,93.0604228925342,2283,20,9.039150240107752
2020,NE,3124,12,-22.72856667306027,2346,20,28.792814093263566
2020,NO,3945,28,72.87543420653593,2265,30,19.227062438173263
2020,NYG,3336,12,-33.641271104374994,1768,13,-20.365699570535945
2020,NYJ,3115,16,-84.098955876174,1683,9,-42.63800344243854
2020,PHI,3728,22,-92.10532948889656,2027,16,-9.920413149214117
2020,PIT,4129,35,61.94494827584145,1351,12,-59.941895376907546
2020,SEA,4245,40,79.01634611379795,1971,15,8.432180393294864
2020,SF,4320,25,36.27114144777499,1889,19,-28.998723299960147
2020,TB,4776,42,130.82164800044643,1519,16,-22.727830446968863
2020,TEN,3826,33,124.4731282970309,2690,26,48.01371735157952
2020,WAS,3796,16,-63.73505710955179,1611,18,-2.6688049121329174
2021,ARI,4619,27,80.31259460220403,2076,23,-8.976329610566415
2021,ATL,3987,20,-16.81421851993055,1451,11,-65.02302008257266
2021,BAL,4267,21,-0.7380056510154915,2479,18,10.51826849534252
2021,BUF,4450,36,78.07080575368647,2209,20,30.4179243373543
2021,CAR,3573,14,-132.20783896492762,1842,17,-18.567005636062472
2021,CHI,3635,16,-92.62039353184636,2018,14,-20.07169487785982
2021,CIN,4806,36,91.25137177986849,1742,16,-36.11549252261203
2021,CLE,3619,21,-16.197115227810738,2471,20,26.72429170690463
2021,DAL,4963,40,121.3150802253373,2119,15,-22.218052031812043
2021,DEN,3856,20,43.70757981475442,2025,16,-34.38671498639965
2021,DET,3884,23,-20.95766867941608,1886,12,-38.1162811281006
2021,GB,4526,39,121.74914223977385,1900,13,14.604044207552086
2021,HOU,3630,21,-60.411743138214874,1422,8,-66.45837687555539
2021,IND,3588,27,9.956186922557428,2540,22,39.33890038725944
2021,JAX,3674,12,-58.918805229335575,1755,13,-23.66407170104753
2021,KC,4937,37,146.8661316845902,1955,16,19.4014098809912
2021,LA,4893,41,108.2507875701711,1683,10,-35.8979216356487
2021,LAC,5014,38,119.34808747669969,1834,18,-15.468361516838732
2021,LV,4808,23,36.74009039532134,1617,14,-49.07788561084234
2021,MIA,3936,21,-4.536039533838316,1568,12,-58.10777029026223
2021,MIN,4450,34,57.376755653997996,1930,10,-41.31556674316617
2021,NE,4098,24,77.8880193656106,2151,24,6.713306028096723
2021,NO,3437,29,-32.21065915119972,1991,12,-51.90695940658594
2021,NYG,3463,15,-131.04195663024112,1688,8,-34.944570241398154
2021,NYJ,3959,20,-75.23830914390196,1667,14,-10.905855076978986
2021,PHI,3585,20,31.475128004306775,2715,25,43.0000130858342
2021,PIT,4017,23,-57.07841774197806,1583,10,-20.156033461619195
2021,SEA,3815,30,15.375291091702413,2074,18,16.348847755579502
2021,SF,4437,26,105.8835216240011,2166,22,-1.9087813498247614
2021,TB,5383,43,144.2964173704021,1672,18,-2.4280335340173687
2021,TEN,3745,22,28.506517294325878,2404,23,0.8969569727867417
2021,WAS,3746,21,-35.989729638705995,2061,13,-14.795005624785569
2022,ARI,3966,17,-87.31055590684454,1873,15,-10.385701513462914
2022,ATL,2927,17,12.69683316740543,2718,17,10.663464650738916
2022,BAL,3202,19,-17.198107088511794,2720,14,32.713750905056244
2022,BUF,4291,35,95.93615193244901,2232,15,12.383823806695666
2022,CAR,3246,16,-41.798702883362154,2210,16,7.88542726175559
2022,CHI,2598,19,-85.26358997559537,3014,18,50.40234103817224
2022,CIN,4520,35,87.52605793048077,1528,14,-20.473504252410134
2022,CLE,3710,19,-10.125522165335097,2490,19,24.521146159148113
2022,DAL,3911,28,31.73626848221614,2298,24,-12.118539443865423
2022,DEN,4007,18,-86.17285779168034,1935,11,-37.283333607124504
2022,DET,4444,29,104.07154651409064,2179,23,-36.788763026357394
2022,GB,3890,27,-1.6200855390558604,2113,12,5.130230863709384
2022,HOU,3642,20,-113.12737238463541,1476,7,-72.60542869608524
2022,IND,3855,17,-103.30296528279057,1866,8,-66.17925067264375
2022,JAX,4148,25,71.91571078162973,2116,16,-24.693014514906938
2022,KC,5250,41,187.72210499334173,1970,18,15.272556608487365
2022,LA,3506,16,-68.12828622955793,1661,15,-16.77644102635033
2022,LAC,4791,26,26.94054355331627,1524,15,-9.985825247373642
2022,LV,4182,28,19.57104527122713,2059,12,-8.715669671427145
2022,MIA,4765,30,61.8724884585627,1686,12,-15.55035268350372
