feature,coefficient
teamWeightedPassingEpa,-1.7709450804266039e-4
teamDeltaPassingEpa,2.347756910086104e-6
teamWeightedPassingCpoe,2.0336317694931047e-6
teamDeltaPassingCpoe,-1.444193746646478e-4
teamWeightedCarries,-8.967555558907642e-5
teamDeltaCarries,9.928458323878356e-5
teamWeightedRushingYards,1.3317550449761819e-4
teamDeltaRushingYards,3.1608600144332515e-4
teamWeightedRushingEpa,-8.596359760773664e-5
teamDeltaRushingEpa,1.6827663588714052e-4
teamWeightedPointsAgainst,7.752909442177934e-5
teamDeltaPointsAgainst,1.1022369840630746e-4
teamWeightedTargets,1.3868989613011965e-4
teamDeltaTargets,-3.564372689838951e-4
teamWeightedReceivingYards,5.92888222343421e-5
teamDeltaReceivingYards,5.099591570741409e-5
teamWeightedReceivingTds,3.498099648339932e-5
teamDeltaReceivingTds,5.4204282504119136e-5
teamWeightedReceivingAirYards,2.3532521626705205e-4
teamDeltaReceivingAirYards,1.0658279478163999e-4
teamWeightedPassRate,1.2437534334662368e-4
teamDeltaPassRate,-6.051842405783428e-5
teamWeightedTeamPlays,-1.333433553296601e-4
teamDeltaTeamPlays,4.734435045771134e-5
teamWeightedPassingYardsPerAttempt,4.242940275883117e-5
teamDeltaPassingYardsPerAttempt,-2.3993597772168126e-7
teamWeightedPassingYardsPerGame,8.539161474271094e-5
teamDeltaPassingYardsPerGame,-7.378716728598753e-5
teamWeightedPassingTdsPerGame,6.573199965634373e-5
teamDeltaPassingTdsPerGame,-5.88777474525941e-6
teamWeightedPassingEpaPerGame,-1.641300586821611e-4
teamDeltaPassingEpaPerGame,-4.229578416990637e-5
teamWeightedReceivingYardsPerTarget,-1.5890935666779598e-4
teamDeltaReceivingYardsPerTarget,-1.7780344083952342e-4
teamWeightedPassRateDiffLeague,1.4894860719458192e-4
teamDeltaPassRateDiffLeague,4.5517027561672994e-5
teamWeightedPassingYardsPerGameDiffLeague,1.244824459828527e-5
teamDeltaPassingYardsPerGameDiffLeague,1.2881106991798855e-4
teamWeightedPassingEpaPerGameDiffLeague,-2.7048958189158e-4
teamDeltaPassingEpaPerGameDiffLeague,2.2866013079401112e-4
marketPrev1ContractCount,-3.339907734949645e-4
marketPrev1MedianTerm,-9.550775316560947e-6
marketPrev1MedianAav,3.416964633882605e-5
marketPrev1MedianAavPerc,-1.051483552567693e-4
marketPrev1P75AavPerc,-1.7032716843888817e-4
marketPrev1MedianAgeAtSigning,1.3453731308227327e-4
marketPrev2ContractCount,-3.4925428399605726e-4
marketPrev2MedianTerm,6.689973052668641e-5
marketPrev2MedianAav,1.0928239463531667e-5
marketPrev2MedianAavPerc,-2.1270906311931376e-4
marketPrev2P75AavPerc,-7.132864333547614e-5
marketPrev2MedianAgeAtSigning,1.7082043662132457e-4
marketWeightedContractCount,-3.407187142041001e-4
marketDeltaContractCount,8.60406043627415e-5
marketWeightedMedianTerm,1.1559856946241675e-5
marketDeltaMedianTerm,-9.97440340710536e-5
marketWeightedMedianAav,3.076177306666709e-5
marketDeltaMedianAav,5.417466124255554e-5
marketWeightedMedianAavPerc,-7.689481656780018e-5
marketDeltaMedianAavPerc,4.044704840698503e-4
marketWeightedP75AavPerc,7.02395822727233e-5
marketDeltaP75AavPerc,2.267654282140254e-4
marketWeightedMedianAgeAtSigning,1.589567235287375e-4
marketDeltaMedianAgeAtSigning,-3.754769316873276e-5
term_X2,4.908867861342751e-4
term_X3,0.0018499796315404895
term_X4,0.0028075311997546887
term_X5,0.004123263071804965
combineAvailable_yes,-8.396766329306543e-6
combineAvailable_unknown,1.2425444516041064e-4
undraftedFlag_yes,-8.137886954707301e-4
playerRefMatched_yes,-1.3938042428320415e-4
prevSignedTeam_ATL,-2.4071287791491532e-5
prevSignedTeam_BAL,5.52359039699572e-6
prevSignedTeam_BUF,3.1544199402809634e-4
prevSignedTeam_CAR,1.1530173247276603e-4
prevSignedTeam_CHI,4.5959249502363606e-5
prevSignedTeam_CIN,2.1213116899116023e-5
prevSignedTeam_CLE,-3.5726412985831707e-5
prevSignedTeam_DAL,-3.3625476063350034e-5
prevSignedTeam_DEN,-4.586903542118399e-5
prevSignedTeam_DET,1.792662662394332e-4
prevSignedTeam_GB,-1.4728258534654545e-5
prevSignedTeam_HOU,1.305076529414593e-4
prevSignedTeam_IND,8.40170754723732e-5
prevSignedTeam_JAX,-6.413541868565869e-5
prevSignedTeam_KC,1.9028290218396513e-4
prevSignedTeam_LA,8.715195796419177e-5
prevSignedTeam_LAC,-7.738734247306217e-5
prevSignedTeam_LV,-1.2111445218620248e-4
prevSignedTeam_MIA,1.500201812298343e-4
prevSignedTeam_MIN,-1.5737525332871872e-4
prevSignedTeam_NE,5.1954973639921326e-6
prevSignedTeam_NO,3.105071501559783e-5
prevSignedTeam_NYG,7.184137622197361e-5
prevSignedTeam_NYJ,-6.257149236885983e-5
prevSignedTeam_PHI,2.560355280610282e-5
prevSignedTeam_PIT,-1.5630836567071778e-5
prevSignedTeam_SEA,-6.183985226483323e-6
prevSignedTeam_SF,1.5680945570399495e-5
prevSignedTeam_TB,1.9977396388403876e-4
prevSignedTeam_TEN,-3.2775071534031056e-5
prevSignedTeam_WAS,1.5000196789554808e-4
prevSignedTeam_unknown,-0.0012297515202792809
prev1Team_ATL,-1.1969131223338958e-4
prev1Team_BAL,-1.9193514730586264e-4
prev1Team_BUF,-2.717789826736902e-4
prev1Team_CAR,2.690245796793891e-4
prev1Team_CHI,2.137507568171121e-4
prev1Team_CIN,1.1236269680226879e-4
prev1Team_CLE,5.4356904588698577e-5
